word,section,difficulty,hint
ambitious,Little Sprouts,easy,wanting something badly
curious,Little Sprouts,easy,wanting to know about things
diligent,Little Sprouts,easy,working hard and carefully
enthusiastic,Little Sprouts,moderate,very keen and eager
jubilant,Rising Explorers,moderate,very happy and excited
persevere,Rising Explorers,moderate,to keep trying despite difficulty
eloquent,Rising Explorers,hard,fluent and persuasive in speaking
benevolent,Builders League,moderate,kind and generous
collaborate,Builders League,moderate,to work together with others
ephemeral,Builders League,hard,lasting a very short time
meticulous,Builders League,hard,very careful and precise
ambivalent,Champions Circle,hard,having mixed feelings
perspicacious,Champions Circle,hard,having keen insight
obfuscate,Champions Circle,champion,to make something unclear
sesquipedalian,Elite Masters,champion,long and complex in sound
pellucid,Elite Masters,champion,clear and easy to understand
quixotic,Elite Masters,champion,excitingly adventurous but unrealistic
pusillanimous,Grand Legends,champion,lacking courage
magnanimous,Grand Legends,champion,generous and forgiving
verisimilitude,Grand Legends,champion,appearance of being true or real
